"ID_BUILD","ID_SOURCE"
"5","w55490821"
"8","w55447241"
"17","w55491238"
"18","w55490163"
"44","w55491243"
"50","w55491240"
"52","w55491233"
"60","w95745278"
"78","w55496594"
"80","w55494078"
"81","w55500448"
"89","w55496067"
"90","w55494092"
"91","w55491245"
"96","w55496072"
"97","w55496592"
"98","w55494095"
"106","w55494068"
"114","w55496586"
"120","w55448999"
"145","w55448988"
"150","w618750321"
"172","w95576368"
"173","w55445721"
"175","w55445722"
"190","w55439222"
"191","w55445032"
"194","w55445025"
"216","w55448177"
"220","w55448160"
"231","w55448159"
"245","w55448181"
"262","w47273119"
"264","w55901639"
"265","w55906118"
"271","w55901638"
"272","w55901647"
"273","w47273155"
"274","w55906116"
"281","w55906148"
"288","w55901612"
"290","w55901592"
"291","w55901618"
"293","w47273118"
"295","w55901587"
"296","w53657375"
"299","w53610974"
"307","w618750324"
"313","w53657366"
"316","w53657383"
"326","w53657337"
"327","w53662746"
"344","w53657336"
"345","w53657338"
"347","w53657340"
"349","w53657360"
"354","w56420906"
"360","w997149803"
"363","w62228871"
"375","w55440925"
"407","w62997060"
"412","w326839300"
"413","w326839305"
"414","w326839299"
"416","w57039431"
"418","w326839307"
"419","w62229088"
"429","w57039421"
"430","w55886377"
"437","w55890110"
"438","w326839308"
"447","w55890092"
"448","w326839303"
"451","w55886347"
"453","w55890085"
"461","w55886367"
"463","w997149802"
"464","w95596923"
"480","w57039427"
"486","w57039420"
"489","w53574158"
"494","w53585854"
"503","w53585853"
"513","w1121913795"
"514","w1121913797"
"515","w1216452347"
"516","w1216452348"
"519","w261092850"
"520","w55477602"
"523","w1121913798"
"524","w1121913796"
"533","w53590957"
"546","w53590964"
"548","w53596330"
"552","w53585855"
"555","w53596331"
"559","w53590943"
"563","w53590938"
"565","w53590941"
"567","w53583672"
"569","w53583670"
"590","w1121913799"
"595","w1121913800"
"638","w49363290"
"640","w49363300"
"641","w55697127"
"642","w55697138"
"647","w55697114"
"658","w55760909"
"661","w49363298"
"663","w55697136"
"667","w55750696"
"668","w55740343"
"669","w55698726"
"671","w55740340"
"672","w55740353"
"677","w55740335"
"678","w55740325"
"691","w227834262"
"695","w55740347"
"700","w55740327"
"703","w55741231"
"708","w55742120"
"713","w55750716"
"714","w55750695"
"715","w55750734"
"719","w55697118"
"723","w55697107"
"731","w55698719"
"732","w55750691"
"733","w55760872"
"736","w55697103"
"738","w55697139"
"742","w55697098"
"744","w55697129"
"747","w55760890"
"748","w55697130"
"749","w55750698"
"751","w55697123"
"752","w55697128"
"753","w791813178"
"763","w62505841"
"767","w62551465"
"773","w62551446"
"778","w62551443"
"793","w62505854"
"796","w62505864"
"803","w56640813"
"804","w56670562"
"810","w56659890"
"811","w56645230"
"818","w1106171233"
"824","w62234527"
"828","w62230920"
"829","w62233349"
"830","w57380036"
"841","w62231566"
"843","w62231551"
"844","w62233352"
"849","w62231589"
"850","w242054970"
"851","w62231577"
"852","w62233364"
"853","w62233371"
"854","w62233338"
"856","w62505817"
"857","w62234564"
"858","w57380029"
"859","w57380037"
"861","w62230899"
"864","w62230928"
"867","w62230927"
"868","w242054967"
"872","w62230911"
"875","w62231583"
"877","w57379643"
"878","w62230900"
"879","w62230908"
"881","w62233365"
"885","w62230905"
"886","w62231557"
"887","w62230924"
"890","w62231548"
"891","w62230918"
"893","w57039433"
"897","w57041251"
"898","w57039425"
"900","w56140786"
"902","w57041210"
"905","w57039424"
"906","w57041205"
"910","w57378829"
"925","w57039434"
"928","w57039423"
"930","w57039435"
"938","w57041203"
"939","w57039426"
"949","w56140779"
"961","w56140767"
"964","w55890114"
"966","w56140783"
"967","w56140796"
"968","w56140805"
"973","w62233343"
"976","w62233348"
"977","w62233346"
"980","w62233373"
"982","w55893092"
"998","w55893105"
"1004","w56140773"
"1011","w55893106"
"1013","w55893119"
"1017","w55893097"
"1020","w56140810"
"1025","w56140778"
"1034","w62234549"
"1038","w62234133"
"1039","w62234543"
"1045","w62234023"
"1046","w62233342"
"1048","w62234124"
"1049","w629480851"
"1051","w62234036"
"1053","w62234572"
"1055","w62234122"
"1056","w62234573"
"1058","w62234041"
"1059","w62234523"
"1063","w62234044"
"1064","w62234536"
"1067","w1216279948"
"1070","w1108444448"
"1071","w200452259"
"1103","w53772780"
"1113","w1216452345"
"1114","w1216452346"
"1117","r3075632"
"1118","r562636"
"1120","r558409"
"1130","r558410"
"1139","r537232"
"1140","r558388"
"1142","r562633"
"1153","r537225"
"1155","r562840"
"1162","r572451"
"1165","r967593"
"1166","r812320"
"1176","r974756"
"1177","r721797"
"1182","r967587"
"1183","r721796"
"1195","r572449"
"1198","r967589"
"1201","r659760"
"1202","r538029"
"1206","r555629"
"1208","r538022"
"1209","r11598195"
"1220","r556674"
"1225","r538025"
"1227","r556247"
"1236","r556133"
"1246","r6551963"
"1247","r6551963"
"1248","r6551963"
"1249","r9396191"
"1251","r555548"
"1271","r568776"
"1273","r1391931"
"1274","r967650"
"1276","r568806"
"1277","r1401678"
"1281","r967654"
"1283","r568804"
"1284","r967631"
"1285","r967633"
"1286","r967641"
"1295","r967652"
"1296","r1391932"
"1298","r1042917"
"1300","r568807"
"1301","r1391935"
"1304","r967588"
"1305","r967647"
"1306","r967642"
"1307","r967640"
"1308","r1391934"
"1309","r967630"
"1310","r568805"
"1311","r1391933"
"1312","r967664"
"1314","r536982"
